iter	Logloss
0	0.6872334177
1	0.6829882341
2	0.6785384514
3	0.6745521771
4	0.6703733417
5	0.6661284482
6	0.6621213339
7	0.6600758448
8	0.6575911457
9	0.6556769555
10	0.6540225852
11	0.6511099316
12	0.6491646196
13	0.6476061412
14	0.6461225318
15	0.64504869
16	0.6437819595
17	0.6424722819
18	0.6398879676
19	0.6389344899
20	0.6378223546
21	0.636751055
22	0.6351544243
23	0.6337681915
24	0.6330845281
25	0.6321454226
26	0.6314919862
27	0.6310273687
28	0.6299602524
29	0.6293558114
30	0.6283436581
31	0.627763886
32	0.6270532858
33	0.6265025131
34	0.6257683478
35	0.6252054754
36	0.6242863041
37	0.6240283649
38	0.6236707604
39	0.62333438
40	0.6230638961
41	0.6219525098
42	0.6204599158
43	0.6194489825
44	0.6193397781
45	0.6185353384
46	0.6180321051
47	0.617276185
48	0.61650635
49	0.6163140233
50	0.6160310088
51	0.615740821
52	0.6152379385
53	0.6150647143
54	0.6146081135
55	0.6140974241
56	0.6136652488
57	0.6134502423
58	0.6131514845
59	0.6130117127
60	0.6123302664
61	0.6122796017
62	0.6111561561
63	0.6109503409
64	0.610603441
65	0.6102923061
66	0.6102017996
67	0.6089360356
68	0.6087675484
69	0.6085520357
70	0.608257394
71	0.6080783945
72	0.6079227794
73	0.6077743582
74	0.607324546
75	0.6072158937
76	0.6066546202
77	0.6063389323
78	0.6063343034
79	0.6060654536
80	0.6053997905
81	0.6053424174
82	0.6046526174
83	0.6041645192
84	0.6041303176
85	0.6039812983
86	0.6038736447
87	0.6035063847
88	0.602930363
89	0.6028516449
90	0.6023113208
91	0.6017090962
92	0.6014092087
93	0.6011229519
94	0.6011083168
95	0.6009736044
96	0.6001642433
97	0.5997798066
98	0.5995753384
99	0.5993840755
100	0.5993157038
101	0.599081885
102	0.598843558
103	0.5985912407
104	0.5984382042
105	0.5984146903
106	0.5982944972
107	0.5976998452
108	0.5975438856
109	0.5974796471
110	0.5968793088
111	0.5966482778
112	0.5964053058
113	0.5961566069
114	0.595423162
115	0.595340014
116	0.5952564169
117	0.5951513988
118	0.5948568654
119	0.5941793163
120	0.5940861781
121	0.5934561868
122	0.5933322758
123	0.5932935489
124	0.5932259227
125	0.5924738645
126	0.592461085
127	0.5918602814
128	0.5915837509
129	0.5909976659
130	0.5908963183
131	0.5903564052
132	0.5902146019
133	0.5898927717
134	0.5896530372
135	0.5893090791
136	0.5892283608
137	0.5890785661
138	0.5888024583
139	0.5887057983
140	0.5881870588
141	0.5879741004
142	0.5873956926
143	0.5868648524
144	0.586342342
145	0.5859634998
146	0.5854686581
147	0.5850497335
148	0.5845859158
149	0.5842669042
150	0.5841765681
151	0.5836001589
152	0.583126794
153	0.5826357242
154	0.5821935108
155	0.5816818364
156	0.5815362928
157	0.5811711095
158	0.5808477491
159	0.5805013765
160	0.5798391021
161	0.5797262609
162	0.5794133976
163	0.5788499948
164	0.5786156386
165	0.5781477405
166	0.5779186775
167	0.577359039
168	0.5768691702
169	0.5764337288
170	0.5759215083
171	0.5756477342
172	0.5752135603
173	0.5750209648
174	0.5746422388
175	0.5742905728
176	0.5739069695
177	0.5738098767
178	0.5734731326
179	0.5726649308
180	0.5725830429
181	0.5720939031
182	0.5717708817
183	0.5715860954
184	0.5712503826
185	0.5711828333
186	0.5708727151
187	0.570646997
188	0.570179038
189	0.5696001917
190	0.5693237955
191	0.5690366672
192	0.5686994892
193	0.5684425133
194	0.5680479789
195	0.5678131448
196	0.567453494
197	0.5672664803
198	0.5670758759
199	0.5667434279
200	0.5665022214
201	0.5662869479
202	0.5660096861
203	0.565854311
204	0.5656888849
205	0.5654029646
206	0.5652610434
207	0.5651077493
208	0.5649161914
209	0.5647365066
210	0.564154298
211	0.5639698561
212	0.563685512
213	0.5634515657
214	0.5633077392
215	0.5630364054
216	0.5629253669
217	0.562619626
218	0.5617783983
219	0.5614633691
220	0.5613861269
221	0.5608841641
222	0.560800777
223	0.5606330707
224	0.5605027493
225	0.5604863941
226	0.5602666095
227	0.5601475914
228	0.5600526942
229	0.5598843021
230	0.5598105211
231	0.559704785
232	0.5594783648
233	0.5593334871
234	0.5590622445
235	0.5588721701
236	0.5586087595
237	0.5585299919
238	0.5581688143
239	0.5580753527
240	0.5578093284
241	0.5576842793
242	0.5575927278
243	0.5572891536
244	0.5571615263
245	0.5569726919
246	0.5568363801
247	0.5567119164
248	0.5562167122
249	0.5558795617
250	0.5556745799
251	0.5555079311
252	0.5554380244
253	0.5552672885
254	0.5551728876
255	0.5550971042
256	0.5549108328
257	0.55485382
258	0.5547021713
259	0.5545846698
260	0.5543160999
261	0.5541661172
262	0.5540557927
263	0.5540250678
264	0.5539122472
265	0.5537820763
266	0.5533688
267	0.5532104475
268	0.5530110409
269	0.5529081606
270	0.5527616714
271	0.5525256956
272	0.5524373887
273	0.5523798673
274	0.5522617797
275	0.5521822045
276	0.552033144
277	0.5519783521
278	0.5515168894
279	0.5513810544
280	0.5513137774
281	0.5512622256
282	0.5510022245
283	0.5509737294
284	0.5508519767
285	0.5507854921
286	0.5507074195
287	0.5505906321
288	0.5504516486
289	0.5502210721
290	0.5499883831
291	0.5499377045
292	0.5498218876
293	0.5494759478
294	0.5494167509
295	0.5493816296
296	0.5487331291
297	0.5486062659
298	0.5485921977
299	0.5483690858
