iter	Passed	Remaining
0	143	42775
1	144	21548
2	146	14462
3	147	10930
4	149	8805
5	150	7360
6	150	6319
7	151	5547
8	153	4965
9	155	4498
10	156	4113
11	158	3795
12	159	3528
13	161	3297
14	163	3102
15	164	2922
16	165	2754
17	166	2601
18	166	2464
19	168	2361
20	170	2266
21	172	2182
22	174	2104
23	177	2036
24	178	1966
25	180	1897
26	182	1842
27	184	1791
28	186	1739
29	187	1691
30	189	1643
31	191	1601
32	192	1559
33	193	1515
34	195	1478
35	196	1443
36	199	1415
37	200	1385
38	202	1353
39	203	1324
40	205	1300
41	207	1275
42	209	1251
43	211	1229
44	212	1206
45	215	1187
46	216	1166
47	218	1146
48	220	1128
49	221	1109
50	223	1090
51	224	1072
52	226	1055
53	227	1038
54	229	1022
55	231	1006
56	232	993
57	234	978
58	236	964
59	237	951
60	239	937
61	241	925
62	241	909
63	242	894
64	243	882
65	245	871
66	248	862
67	249	850
68	250	840
69	252	829
70	254	821
71	256	810
72	257	801
73	259	793
74	260	782
75	262	772
76	264	765
77	265	756
78	267	749
79	269	740
80	270	732
81	272	724
82	274	717
83	276	710
84	278	704
85	280	697
86	282	690
87	283	682
88	284	674
89	285	666
90	287	660
91	289	653
92	290	647
93	293	642
94	294	635
95	295	628
96	296	621
97	299	616
98	300	610
99	302	604
100	304	599
101	306	594
102	309	591
103	310	585
104	312	580
105	314	575
106	315	569
107	316	562
108	317	555
109	318	550
110	320	546
111	322	540
112	324	536
113	325	530
114	326	524
115	327	520
116	329	515
117	331	511
118	332	505
119	333	500
120	335	496
121	337	492
122	338	487
123	340	483
124	342	479
125	344	475
126	345	471
127	347	466
128	349	462
129	350	458
130	352	454
131	354	450
132	356	447
133	357	443
134	359	439
135	361	435
136	362	431
137	364	427
138	366	424
139	368	420
140	370	417
141	372	414
142	374	411
143	376	408
144	378	404
145	380	401
146	382	397
147	384	394
148	385	391
149	387	387
150	389	384
151	391	380
152	392	377
153	394	373
154	396	370
155	398	367
156	400	364
157	402	361
158	403	358
159	405	354
160	407	351
161	409	348
162	410	345
163	411	341
164	413	338
165	414	334
166	415	331
167	416	327
168	417	323
169	418	320
170	420	316
171	421	313
172	423	310
173	424	307
174	426	304
175	428	301
176	429	298
177	431	295
178	431	291
179	433	289
180	435	286
181	436	283
182	437	279
183	438	276
184	439	273
185	441	270
186	441	266
187	442	263
188	444	260
189	445	257
190	446	254
191	448	252
192	450	249
193	452	247
194	454	244
195	456	242
196	457	239
197	458	236
198	459	233
199	460	230
200	462	227
201	464	225
202	465	222
203	466	219
204	467	216
205	468	213
206	470	211
207	471	208
208	473	206
209	475	203
210	477	201
211	479	198
212	480	196
213	481	193
214	482	190
215	484	188
216	485	185
217	487	183
218	488	180
219	489	178
220	491	175
221	492	172
222	493	170
223	495	168
224	497	165
225	498	163
226	500	160
227	501	158
228	503	155
229	504	153
230	507	151
231	508	149
232	509	146
233	510	144
234	512	141
235	513	139
236	515	137
237	516	134
238	518	132
239	519	129
240	520	127
241	521	125
242	522	122
243	524	120
244	525	117
245	527	115
246	529	113
247	530	111
248	531	108
249	533	106
250	534	104
251	536	102
252	537	99
253	539	97
254	540	95
255	541	93
256	543	90
257	544	88
258	546	86
259	548	84
260	550	82
261	551	80
262	553	77
263	554	75
264	556	73
265	557	71
266	559	69
267	561	67
268	563	64
269	564	62
270	566	60
271	568	58
272	569	56
273	570	54
274	571	51
275	572	49
276	572	47
277	573	45
278	575	43
279	577	41
280	578	39
281	580	37
282	581	34
283	583	32
284	584	30
285	585	28
286	587	26
287	589	24
288	592	22
289	593	20
290	594	18
291	596	16
292	598	14
293	599	12
294	601	10
295	602	8
296	604	6
297	605	4
298	607	2
299	609	0
